SUMMARY:
 version, unused interface, unused block, sloppy, lego, function overload, duplicate functionality, logical deps
2.3.30,4,0,52,0,5,0,0,
2.3.32,8,0,52,0,5,0,0,
2.5.2,7,0,47,0,5,0,0,
2.5.8,6,0,47,0,5,0,0,
2.5.10.1,5,0,48,0,5,0,0,

DETAILS:

2.3.30:

Unused interface: 
componentName, className
org.apache.struts2.dojo.views.ss,org.apache.struts2.dojo.views.DojoTagLibrary,,
org.apache.struts2.views.jsp.iterator.ss,org.apache.struts2.views.jsp.iterator.AppendIteratorTag,,
org.apache.struts2.views.jsp.iterator.ss,org.apache.struts2.views.jsp.iterator.MergeIteratorTag,,
org.apache.struts2.jasper.compiler.ss,org.apache.struts2.jasper.compiler.Dumper,,

Unused components:
component Name,

Sloppy Delegation:
component, affected class, total class, percentages
org.apache.struts2.util.tomcat.buf.ss,6,32,18.75
org.apache.struts2.views.velocity.ss,3,19,15.789474

Lego and Overload:
componentName, number of public methods , smells
org.apache.struts2.views.freemarker.tags.ss, 92,Overload
org.apache.struts2.views.ss, 90,Overload
org.apache.struts2.el.parser.ss, 50,Overload
org.apache.struts2.views.java.simple.ss, 57,Overload
org.apache.struts2.jasper.compiler.ss, 151,Overload

Code colone based:
componentName, affected classes, total classes, percentages

Co change: 
componentName, other components , smells?
